pivot table,,,,,,,
,,,,,,,
Name,Gender,Age,Class,House,Unit Test 1,Unit Test 2,Final Test
Abhimanyu,M,16,10,Bhoomi,84,79,81
Arjun,M,11,5,Vayu,82,83,91
Champa,F,15,8,Jal,81,78,88
Gopal,M,14,8,Bhoomi,70,75,79
Gopi,F,16,10,Agni,88,92,96
Hari,M,16,10,Bhoomi,82,81,80
Indu,F,14,8,Vayu,90,86,89
Keshav,M,15,9,Agni,87,89,96
Lalita,F,17,10,Vayu,70,90,92
Madhav,M,12,7,Jal,86,92,89
Sam,M,11,6,Agni,91,81,94
RNM,M,16,10,Agni,86,81,77
Student1,M,15,9,Agni,87,89,95
Student8,F,15,8,Vayu,81,90,95
Student2,F,17,10,Vayu,70,90,92
Student4,F,12,7,Jal,86,92,89
Student5,F,16,10,Jal,81,80,87
Sudevi,F,16,10,Jal,81,80,87
Varun,M,15,9,Vayu,87,89,95
Vidya,F,11,6,Vayu,88,90,92
Visakha,F,16,10,Bhoomi,70,87,85
Vrinda,F,14,8,Agni,91,96,98
